No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
51,,CONVERT,FUNC MIGRATION,knowledge-51,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
52,,CONVERT (FNC-009-001),CONVERT,knowledge-52,<ns3:para>CONVERT\s*\( pattern関数は未サポートです。引数の順序が違うpattern関数は存在します。また、符号化方式を指定する文字列がtodbとfromdbでは違うため、検討が必要です。</ns3:para>,item-42,CONVERT\s*\(,TRUE,DBMS の変更,Low,低2,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,CONVERT\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,CONVERT\s*\(
52,,CONVERT (FNC-009-001),CONVERT,knowledge-52,,item-43,CONVERT\s*\(,TRUE,DBMS の変更,Low,低2,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,CONVERT\s*\(
52,,CONVERT (FNC-009-001),CONVERT,knowledge-52,,item-44,CONVERT\s*\(,TRUE,DBMS の変更,Low,低2,check,,*.properties,CONVERT\s*\(,,,TRUE,,TODO:SE 手動算出,,,CONVERT\s*\(
53,,CORR,FUNC MIGRATION,knowledge-53,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
54,,CORR (FNC-010-001),CORR,knowledge-54,<ns3:para>CORR\s*\( pattern関数は未サポートです。</ns3:para>,item-45,CORR\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,CORR\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,CORR\s*\(
54,,CORR (FNC-010-001),CORR,knowledge-54,,item-46,CORR\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,CORR\s*\(
54,,CORR (FNC-010-001),CORR,knowledge-54,,item-47,CORR\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,CORR\s*\(,,,TRUE,,TODO:SE 手動算出,,,CORR\s*\(
55,,CORR,FUNC MIGRATION,knowledge-55,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
56,,CORR (FNC-010-002),CORR,knowledge-56,<ns3:para>CORR\s*\(.*?\)\s*OVER pattern関数を含む、未サポートの構文を使用しています。</ns3:para>,item-48,CORR\s*\(.*?\)\s*OVER,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,CORR\s*\(.*?\)\s*OVER,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,CORR\s*\(.*?\)\s*OVER
56,,CORR (FNC-010-002),CORR,knowledge-56,,item-49,CORR\s*\(.*?\)\s*OVER,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,CORR\s*\(.*?\)\s*OVER
